ProductID,ProductSubCategoryID,ProductName,UnitPrice,UnitCost
1000,100,Smartphone X10,600,509
1001,100,Smartphone Lite,250,208
1002,100,Smartphone Pro Max,1000,805
1003,101,UltraBook 14,899,727
1004,101,Gaming Laptop G5,1299,1141
1005,101,Budget Notebook,449,391
1006,102,Wireless Earbuds,60,34
1007,102,Phone Case,15,10
1008,102,Power Bank 20000mAh,35,21
1009,103,Men's Casual Shirt,30,15
1010,103,Men's Jeans,45,20
1011,103,Men's Jacket,80,36
1012,104,Women's Dress,40,16
1013,104,Women's Top,25,11
1014,104,Women's Leggings,20,8
1015,105,Kids T-Shirt,13,7
1016,105,Kids Shorts,15,7
1017,106,Pasta Pack,3,3
1018,106,Cereal Box,5,3
1019,106,Snack Combo,7,5
1020,107,Soft Drink 1L,2,1
1021,107,Coffee Beans 500g,9,6
1022,107,Juice Pack,4,3
1023,108,Milk 1L,2,2
1024,108,Cheese Block,5,4
1025,108,Yogurt Pack,4,3
1026,109,Office Chair,130,66
1027,109,Study Table,150,79
1028,109,Bookshelf,90,48
1029,110,Wall Clock,20,9
1030,110,Table Lamp,25,9
1031,110,Photo Frame Set,16,6
1032,111,Non-Stick Pan Set,45,23
1033,111,Knife Set,30,14
1034,111,Cutlery Set,20,10
1035,112,Face Moisturizer,19,7
1036,112,Sunscreen SPF50,15,6
1037,113,Shampoo 500ml,10,4
1038,113,Hair Serum,13,6
1039,114,Lipstick,12,4
1040,114,Foundation,17,5
1041,115,Yoga Mat,23,11
1042,115,Dumbbell Set,50,24
1043,116,Camping Tent,90,46
1044,116,Hiking Backpack,60,32
1045,117,Running Shoes,65,38
1046,117,Sports Sandals,30,16
