StoreID,StoreName,City,State,StoreType,OpenedYear
1,Staciefurt Outlet,North Loriville,California,Standalone,2006
2,Brandihaven Superstore,North Christopher,California,Online,2008
3,Jonesland Mart,Brownshire,California,Standalone,2021
4,East Crystalshire Outlet,New Brendaton,California,Mall,2018
5,North Angela Store,West Robert,California,Mall,2007
6,New Kyleburgh Superstore,New Ashleyborough,Texas,Online,2008
7,Connorland Outlet,New Jamieside,Texas,Standalone,2023
8,Watersmouth Superstore,Wardbury,Texas,Standalone,2017
9,Lake Kimberly Superstore,New Kevinfort,Texas,Outlet,2006
10,Jessicaport Outlet,North Williamburgh,Texas,Mall,2009
11,Edwinfort Superstore,Williamsland,Texas,Standalone,2022
12,Matthewstad Superstore,Rileymouth,Florida,Standalone,2011
13,Port Claytonview Mart,Terryland,Florida,Mall,2007
14,Lake Jacquelineshire Superstore,Mitchellfurt,Florida,Standalone,2020
15,Andrewmouth Store,Garyville,Florida,Online,2019
16,Brownport Mart,Lake John,New York,Mall,2010
17,Rangelfort Outlet,East Shaneside,New York,Mall,2014
18,Nicolechester Store,Jasminestad,New York,Outlet,2019
19,Rosarioberg Mart,East Edwardbury,New York,Standalone,2007
20,South Mariahburgh Superstore,Julianberg,New York,Standalone,2010
21,Nicholsshire Mart,Stephaniehaven,New York,Mall,2020
22,South Rachelside Superstore,Sandersfurt,Illinois,Outlet,2007
23,South Cynthiaton Mart,North Tracey,Illinois,Standalone,2016
24,Martinmouth Store,North Aaronberg,Illinois,Standalone,2019
25,West Christinaland Superstore,New Nicholas,Illinois,Online,2013
26,Stephaniestad Store,Martinezfort,Illinois,Online,2007
27,Castilloport Superstore,East Curtismouth,Illinois,Online,2014
28,Timothyburgh Mart,East Stephaniehaven,Ohio,Online,2016
29,Dwayneside Superstore,Port Allisonland,Ohio,Outlet,2016
30,Aprilburgh Outlet,Kelseyside,Ohio,Standalone,2020
31,Danaborough Superstore,Port Richard,Ohio,Mall,2014
32,East Zachary Outlet,Jessicatown,Ohio,Online,2017
33,Thomasborough Store,Sethstad,Ohio,Outlet,2020
34,Christopherville Outlet,South James,Georgia,Standalone,2022
35,South Claire Mart,South Reginastad,Georgia,Outlet,2018
36,Port Donnafurt Mart,South Pamela,Georgia,Online,2016
37,Mccormickmouth Outlet,Port Sophiafurt,North Carolina,Mall,2010
38,Moralesland Outlet,East Victoria,North Carolina,Mall,2012
39,East Brittanymouth Superstore,New Margaret,North Carolina,Standalone,2023
40,Sandovalstad Outlet,New Amy,North Carolina,Mall,2005
41,North Laurenville Outlet,South Valerie,North Carolina,Standalone,2016
42,Port Morgan Mart,West Jasonhaven,North Carolina,Outlet,2021
43,Port Brenda Store,Amyberg,Michigan,Outlet,2022
44,Lake Michaelmouth Store,Wilcoxhaven,Michigan,Standalone,2017
45,New Edwin Superstore,Port Scottburgh,Michigan,Standalone,2017
46,Port Laurenburgh Outlet,South Christine,Arizona,Mall,2011
47,New Bryanhaven Store,Muellerville,Arizona,Mall,2015
48,East Jameston Superstore,New Shannontown,Arizona,Mall,2023
49,South Markhaven Superstore,Lake Joshua,Washington,Outlet,2005
50,Romerobury Superstore,Sandraborough,Washington,Outlet,2017
51,Taylorville Outlet,Ramosland,Washington,Standalone,2016
52,South Charles Mart,Kristenberg,Washington,Standalone,2008
53,Douglasberg Store,Robinsonville,Massachusetts,Standalone,2014
54,Dyerburgh Superstore,East Jasmine,Massachusetts,Mall,2015
55,Morganborough Mart,Lucasstad,Massachusetts,Standalone,2010
56,West Angelamouth Superstore,South Martinport,Massachusetts,Mall,2021
57,North Tracibury Mart,North Josephton,Massachusetts,Mall,2022
58,West Katelyn Superstore,Atkinsonview,Massachusetts,Online,2014
59,Hernandezhaven Mart,Gravesland,Colorado,Standalone,2010
60,Brianburgh Mart,Woodardview,Colorado,Online,2022
61,Lake Christopherview Mart,New Melissaland,Colorado,Standalone,2011
62,Michellemouth Store,West Virginiachester,Oregon,Online,2012
63,Christyton Outlet,North Tanya,Oregon,Standalone,2016
64,Brentborough Superstore,Courtneyhaven,Oregon,Outlet,2013
65,West Sean Store,West Michael,Oregon,Mall,2016
66,West Benjamintown Mart,New Thomas,Pennsylvania,Outlet,2016
67,Rodriguezchester Superstore,Gardnerfurt,Pennsylvania,Mall,2012
68,Gwendolynbury Store,Jamesberg,Pennsylvania,Mall,2011
69,Mayoton Store,North Chad,Pennsylvania,Standalone,2005
70,Ryanton Store,Lake Maureenhaven,Pennsylvania,Outlet,2016
71,Carolport Superstore,South Jacobview,Pennsylvania,Online,2008
72,Smithstad Outlet,Teresaside,Virginia,Standalone,2010
73,Johnport Store,West Isaac,Virginia,Online,2015
74,Patrickfort Superstore,Wesleyborough,Virginia,Online,2017
75,New Kimberly Store,West Lisaberg,Virginia,Standalone,2007
76,Willisfurt Outlet,West Kevinbury,Virginia,Mall,2009
77,New Susanberg Superstore,Duranfort,Virginia,Mall,2019
