SalesID,CustomerID,StoreID,ProductID,DateKey,Quantity,UnitPrice,UnitCost,DiscountPercent,TotalCost,TotalAmount,Sales,Profit,ProfitMarginPercent,PaymentMethod,OrderStatus
1,359,15,1025,20230821,2,3.99,2.8,0,5.6,7.98,7.98,2.38,29.82,UPI/Wallet,Completed
2,2588,52,1011,20230709,2,79.99,35.52,20,71.04,127.98,127.98,56.94,44.49,Debit Card,Completed
3,1026,2,1040,20221126,1,16.99,5.25,0,5.25,16.99,16.99,11.74,69.1,Credit Card,Completed
4,2672,25,1006,20240613,1,59.99,33.53,30,33.53,41.99,41.99,8.46,20.15,Net Banking,Completed
5,215,26,1011,20250801,5,79.99,35.52,0,177.6,399.95,399.95,222.35,55.59,Net Banking,Completed
6,1172,19,1042,20250925,1,49.99,23.5,15,23.5,42.49,42.49,18.99,44.69,Debit Card,Completed
7,1549,12,1002,20260429,2,999.99,804.99,0,1609.98,1999.98,1999.98,390.0,19.5,Credit Card,Completed
8,2975,44,1034,20230111,4,19.99,10.37,0,41.48,79.96,79.96,38.48,48.12,Debit Card,Completed
9,1725,57,1021,20260420,2,8.99,6.23,0,12.46,17.98,17.98,5.52,30.7,Credit Card,Completed
10,2048,12,1019,20250422,1,6.99,5.11,0,5.11,6.99,6.99,-5.11,-73.1,UPI/Wallet,Returned
11,474,43,1024,20230915,1,5.49,3.88,0,3.88,5.49,5.49,1.61,29.33,UPI/Wallet,Completed
12,2130,41,1034,20240630,2,19.99,10.37,15,20.74,33.98,33.98,-20.74,-61.04,Debit Card,Returned
13,2254,42,1036,20250930,1,14.99,6.36,0,6.36,14.99,14.99,8.63,57.57,Credit Card,Completed
14,627,29,1046,20260115,4,29.99,15.5,0,62.0,119.96,119.96,57.96,48.32,Credit Card,Completed
15,239,34,1031,20220702,1,15.99,6.4,0,6.4,15.99,15.99,9.59,59.97,Debit Card,Completed
16,1774,9,1003,20221121,3,899.0,727.29,5,2181.87,2562.15,2562.15,-2181.87,-85.16,Credit Card,Returned
17,2970,20,1042,20241122,5,49.99,23.5,0,117.5,249.95,249.95,132.45,52.99,Credit Card,Completed
18,260,71,1027,20221215,2,149.99,79.49,5,0.0,0.0,0.0,0.0,0.0,UPI/Wallet,Cancelled
19,591,14,1034,20211226,3,19.99,10.37,30,31.11,41.98,41.98,10.87,25.89,UPI/Wallet,Completed
20,266,56,1044,20230424,1,59.99,31.85,0,31.85,59.99,59.99,28.14,46.91,Credit Card,Completed
21,624,7,1045,20230610,4,64.99,37.5,15,150.0,220.97,220.97,70.97,32.12,Debit Card,Completed
22,2863,6,1029,20211227,2,19.99,8.64,20,17.28,31.98,31.98,-17.28,-54.03,Debit Card,Returned
23,444,71,1030,20240929,1,24.99,8.77,10,8.77,22.49,22.49,13.72,61.0,Credit Card,Completed
24,1899,19,1010,20230515,1,44.99,19.98,15,19.98,38.24,38.24,18.26,47.75,Credit Card,Completed
